#=SORT(GOOGLEFINANCE("KRX:KOSPI200", "all", DATE(2003,1,1), DATE(2017,3,31), "DAILY"), 1, FALSE)
# Open,High,Low,Close => 3531
100.56,101.44,99.33,99.33
99.17,100.81,99.01,100.58
101.12,101.74,100.05,101.04
101.11,101.66,100.09,100.99
98.94,99.47,97.03,97.59
97.31,98.28,96.09,96.74
97.41,98.62,97.07,98.62
98.47,101.52,98.32,100.53
102.2,103.02,101.1,101.1
101.79,102.25,100.92,101.98
102.25,102.48,100.51,101.44
101.55,102.97,100.83,102.74
103.81,104.13,102.62,103.29
103.29,104.74,102.99,104.56
105.09,105.37,102.36,102.36
103.22,104.23,102.32,104.23
103.81,103.99,102.09,103.16
102.1,102.34,101.22,102.02
102.08,103.6,101.8,103.41
104.72,105.89,104.5,105.89
105.45,106.54,105.16,105.35
104.46,104.49,102.6,103.21
103.22,104.15,102.27,104.11
102,102,99.83,100.17
100.6,100.98,99,99.8
99.08,100.99,98.8,99.94
99.3,99.85,97.48,97.61
99.6,99.99,98.83,99.71
99.95,101.78,99.85,101.6
101.63,101.93,100.81,101.6
101.9,103.66,101.9,103.61
103.58,105.52,102.79,104.9
105.67,105.72,104.63,104.86
104.7,105.87,103.85,104.79
104.28,104.88,103.61,103.99
103.55,103.58,101.87,101.87
100.55,102.26,100.17,101.3
102.04,102.39,101.29,101.64
99.91,102.69,99.83,102.69
103,104.25,102.12,102.12
104.2,104.83,103.54,104.32
106.37,106.83,105.56,106.48
104.41,105.72,104.04,104.76
105.56,105.6,103.05,103.05
103.5,104.49,102.81,104.45
105.51,105.82,104.74,105.04
104.85,105.57,104.16,104.16
104.89,105.31,103.87,103.89
104.8,104.83,102.75,102.77
102.72,103.17,102.03,102.43
101.23,102.94,101.22,102.79
104.19,105.45,103.78,105.21
105.9,106.77,105.63,106.65
106.01,107.23,105.96,107.07
108.02,108.02,106.41,106.9
107.29,108.02,107.15,107.54
108.14,109.31,107.2,107.2
108.79,110.89,108.75,110.26
110.05,111.54,109.6,111.1
111.69,111.69,110.18,110.71
110.56,111.73,110.14,110.98
110.85,111.24,109.82,110.34
111.48,111.58,110.25,110.63
111.56,112.29,111.13,111.96
111.57,113.08,111.49,112.63
113.51,114.12,112.73,113.68
114.27,114.27,112.68,113.02
112.58,113.9,112.44,112.59
111.46,111.84,110.93,111.66
111.72,112.41,110.54,110.89
111.16,111.73,110.76,111.68
111.37,111.37,109.32,109.61
109.48,109.96,108.83,108.96
108.97,109.89,108.81,109.77
109.98,111.61,109.57,111.16
112.62,113.51,112.47,113.18
113.33,113.84,112.9,113.46
113.98,115.12,113.92,114.92
115.67,115.72,114.39,115.2
114.91,115.95,114.07,115.75
115.29,116.22,114.94,115.63
115.99,116.65,115.5,116.03
116.67,116.85,114.87,114.87
115.33,116.03,114.61,115.65
114.83,115.32,114.35,115.03
114.67,115.62,113.7,115.05
114.33,115,113.29,113.32
113.41,114.08,113.09,113.63
114.09,114.49,112.97,113.44
113.5,115.92,112.96,115.92
117.22,118.21,117.2,118.07
117.8,118.28,117.57,117.57
117.89,119.46,117.72,119.28
119.19,119.47,118.76,118.88
119.37,119.64,117.98,118.1
116.86,117.23,116.48,116.82
116.23,116.63,114.5,114.74
113.86,115.11,113.41,113.87
113.48,113.57,107.87,111.23
112.23,112.53,111.15,111.63
110.64,111.49,109.82,111.49
112.54,114.61,112.41,114.55
115.45,115.5,113.98,114.55
114.76,116.02,113.99,116.02
115.37,115.7,113.14,113.31
112.14,114.15,111.43,113.72
112.89,113.88,112.33,113.18
113.29,114.19,111.58,112.16
113.89,114.93,113.28,113.64
114.2,115.64,114.06,115.1
115.78,115.78,114.64,114.98
116.21,116.48,114.28,115.98
115.75,116.43,115.27,116.34
116.8,117.33,116.32,116.35
118.58,119.59,118.39,119.57
119.61,120.84,119.13,120.05
120.53,121.04,119.77,121.04
120.1,120.1,118.66,119.27
119.19,122.04,119.19,120.99
121.79,122.11,120.47,120.65
119.56,120.86,119.2,120.59
118.8,119.32,117.82,117.97
118.22,118.49,116.89,118.49
119.57,120.64,118.49,120.6
119.35,122.13,119.35,121.93
122.01,122.19,120.46,120.76
122.52,122.66,121.26,122.44
122.17,122.2,120.23,120.3
120.11,120.62,119.3,119.7
119.95,120.26,117.48,117.48
115.91,116.74,113.7,114.01
113.05,113.92,110.95,112.4
112.47,113.13,111.59,112.84
113.47,114.2,112.66,112.92
112.44,112.53,108.84,108.97
109.03,109.98,106.72,109.38
108.47,108.49,100.31,102.94
102.85,104.39,101.03,102.73
104.11,106.59,103.79,106.05
105.58,105.76,102.14,102.14
103.29,103.79,97.97,99.11
98.91,99.9,93.53,94.05
93.58,96.89,92.63,96.09
97.44,101.9,97.29,100.92
99.3,101.67,98.22,99.66
101.41,102.13,99.64,102.13
103.42,104.02,102.48,103.68
102.44,102.5,100.62,101.64
104.11,105.26,103.43,104.09
105.38,106.03,104.63,105.82
105.24,105.25,102.7,104.14
104.72,105.96,104.21,105.74
104.72,105.07,103.11,104.06
104.93,105.17,99.51,99.51
99.91,101.14,98.83,100.95
101.99,105.02,101.97,105.02
106.02,106.52,104.16,104.73
105.81,106.36,102.53,102.59
101.34,102.41,100,100.58
100.28,100.29,95.93,96.39
95.43,97.87,94.7,94.9
96.19,96.82,93.52,96.78
97.4,99.23,96.04,96.84
97.52,98.02,95.6,98.02
96.89,97.21,94.46,95.74
96.24,98.01,96.02,96.8
96.12,96.86,94.53,96.48
97.48,97.81,95.32,95.56
97.5,98.88,96.8,98.85
98.88,101.21,98.52,101.08
100.88,101.22,98.91,99.85
99.29,101.05,98.82,100.81
101.37,102.1,100.7,101.85
101.68,102.81,100.55,100.8
98.97,99,97.59,97.75
97.68,98.23,96.24,97.91
97.43,98.92,97.15,98.19
95.96,98.47,95.06,98.46
97.32,97.99,95.78,95.78
96.1,97.09,95.47,96.51
97.25,98.04,95.68,96.45
97.4,97.44,95.59,97.11
96.33,97.18,94.88,95.09
95,95.47,93,94.64
94.05,95.81,92.62,95.6
94.4,97.11,94.26,97.11
95.97,96.42,95.29,95.29
97.16,97.93,96.75,97.51
95.55,96.34,94.79,96.08
96.07,96.18,94.83,95.38
94.36,95.62,94.3,95.22
95.12,95.87,94.14,95.66
96.82,97.11,95.93,96.55
96.32,96.32,94.57,94.59
95.59,96.05,95.05,95.27
94.66,94.66,93.19,93.19
94.26,94.42,93.7,94.21
93.27,94.59,92.49,94.59
94.68,96.31,94.13,96.31
94.93,96.37,94.84,94.84
94.14,96.12,93.6,96.08
95.54,96.77,95.45,96.72
97.29,98.08,97.1,97.23
97.53,99.06,97.25,99.05
98.47,100.4,98.22,100.15
99.9,100.36,98.76,99.72
100.72,100.8,98.64,98.97
99.22,99.82,98.73,99.48
100.39,101.48,100.39,101.18
100.68,101.17,100.46,100.86
101.52,102.21,100.27,100.92
101.44,101.64,100.11,101.5
101.24,103,101.12,102.87
103.32,103.88,103.04,103.25
103.58,103.78,102.72,103.38
103.51,104.05,102.82,103.07
102.33,102.94,102.17,102.89
102.83,104.75,102.67,104.69
104.83,105.66,104.48,105.66
105.83,105.97,104.2,104.84
105.13,105.66,104.45,105.52
105.18,105.66,104.61,104.97
105.11,106.04,104.41,104.44
104.47,105.54,103.49,105.39
105.88,107.48,104.59,107.32
108.15,109.6,108.06,109.56
110.28,110.46,108.91,109.27
109.21,110.04,108.96,109.27
108.67,111.25,108.42,110.2
109.92,110.75,108.92,109.32
109.49,111.26,109.48,110.38
110.72,111,109.96,110.42
111.08,111.24,107.53,107.53
106.75,107.46,106.22,106.94
106.74,107.68,105.94,107.33
107.06,108.19,106.81,107.69
107.96,109.42,107.87,109.42
111.14,114.02,111.08,114.02
114.21,114.4,113.32,114.04
114.1,115.69,113.33,114.44
114.48,115.02,113.37,114.17
113.24,115.2,113.23,113.82
113.16,113.96,112.76,113.82
113.5,113.5,110.47,110.47
111.23,111.59,109.86,110.42
109.36,109.73,108.03,109.17
107.97,109.48,107.21,108.42
108.79,109.8,108.24,109.24
110.88,111.26,109.65,110.24
109.59,109.92,106.78,106.93
107.2,107.51,104.94,105.78
106.25,107.29,106.04,106.8
105.24,105.33,103.25,104.13
104.73,105.46,104.43,104.98
105.98,106.2,103.64,104.63
106.81,107.77,106.18,107.77
106.82,108.01,106.19,107.99
107.69,108.87,107.53,108.17
108.67,110.1,108.49,109.67
109.98,111.59,109.3,111.58
111.41,111.41,110.3,110.3
111.76,112.13,111.04,111.52
112.17,112.19,109.32,109.34
109.27,109.97,108.51,109.04
109.53,111.19,109.53,111.19
110.67,112.1,110.51,111.24
113.21,114.21,112.58,113.41
113.78,115.38,113.35,114.09
114.16,114.53,113.17,113.3
114.12,115.17,113.7,114.61
114.64,114.94,113.25,113.33
113.81,114.23,111.62,112.07
110.8,110.88,108.9,109.83
110.85,111.41,109.87,111.18
110.97,112.86,110.39,112.74
112.84,113.63,112.36,112.59
113.31,114.24,110.47,110.68
111.08,111.97,110.34,111.62
111.55,113.4,110.52,113.4
112.88,113.51,112.37,113.09
115.03,115.38,113.79,114.06
114.97,115.38,113.2,113.96
112.92,113.04,111.83,112.37
112.04,112.62,111.01,111.01
110.24,112.16,110.19,112.16
112.03,112.28,110.14,110.88
111.01,111.09,108.15,108.57
108.09,108.88,107.61,108.36
108.63,109.5,108.27,109.38
110.13,111.91,109.83,111.87
112.04,113.29,111.92,112.51
112.62,113.47,111.81,112.63
112.2,113.46,111.97,113.45
113.22,114.05,112.59,113.51
114.28,114.57,113.22,113.66
114.46,114.46,112.15,112.54
112.69,113.15,112.14,113.15
113.5,113.61,112.44,113
112.8,113.46,112.48,113.25
111.96,113.84,111.75,113.84
114.07,115.32,113.92,115.25
115.65,115.9,114.99,115.36
115,115.8,114.5,114.77
113.41,114.65,113.17,114.65
113.88,114.97,112.94,112.94
113.61,113.94,112.18,112.71
